n,obras,autor,fecha,medio,tecnica,material,alto,ancho,fuente,descripcion,periodo,region,pais,camino,id,modelo,repositorio,procedencia,atributoCarguero,accionCarguero,atributoCargado,numeroCargueros,direccionMiradaCarguero,direccionMiradaCargado,direccionCargado,generoCargado,figura/fondo,genero,soporte,otros,src
0,Indio yumbo,Vicente Albán,1783,Pintura,Óleo,lienzo,80,109,"Museo de América, Madrid","6 cuadros dedicados a la representación de tipos humanos, que respondían a modelos tomados de la sociedad local. Estas figuras, vestidas y adornadas a la moda del momento en la Audiencia de Quito (actual República de Ecuador), se situaban en paisajes abiertos en los que se incluían, como en este caso, diferentes elementos de la naturaleza autóctona, especialmente árboles frutales, de cuyas ramas colgaban unos productos que también eran representados abiertos y a gran tamaño. Con ello se mostraban todas las características de interés para los estudios botánicos. El indio aquí representado figura en actitud de transportar el cargamento de frutos a algún mercado de cualquier población. A pesar de la apariencia general del indígena en el que resalta su modo peculiar de llevar la carga, la lanza en la mano y las pinturas del rostro, referidas a su condición de no ""civilizado"", la presencia del machete indica su contacto con los núcleos mestizos. Estas obras están estrechamente relacionadas con los objetivos científicos de las expediciones, que en el siglo XVIII recorrieron gran parte de América, facilitando numerosa información para la clasificación de los diferentes reinos de la Naturaleza. La serie formó parte de las colecciones del Museo de Ciencias Naturales de Madrid y desde él pasó a integrarse en la Sección Etnográfica del Museo Arqueológico Nacional hasta 1941, año en el que ingresó en el recién creado Museo de América de Madrid.",1750 - 1810,Amazonía,Perú,Napo,1cNLgHTfbL0eDiaQOfj9bF3_6wSTzAACI,alban,http://ceres.mcu.es/pages/Main?idt=77&inventary=00076&table=FMUS&museum=MAM,Ecuador,lanza,NA,objetos,1,espectador,NA,NA,NA,equilibrio,castas,cuadro,false,1.png
1,"Quadro de Historia Natural, Civil, y Geográfica del Reyno del Perú",Luis Thiebaut. Comisionado por José Ignacio Lecuanda,1799,Pintura,Óleo,lienzo,118.5,331,"Museo Nacional de Ciencias Naturales, Madrid","Es un cuadro único por su composición y por el modo de transmitir la información. Esta obra conjunta del ilustrado vasco José Ignacio de Lequanda y el pintor francés Louis Thiébaut, que se prolongó a lo largo de cinco años, es una auténtica enciclopedia mural del Perú del siglo XVIII. Un total de  195 escenas y 381 figuras describen la geografía física, la historia, la etnografía, la fauna y la flora del Virreinato peruano. No se conoce otra obra semejante en la historia colonial europea.",1750 - 1810,Montañas andinas,Perú,Perú,1n8W19kYbpDw49QSb148kSJKelx9Vr9zq,quadro del peru,https://artsandculture.google.com/asset/quadro-de-historia-natural-civil-y-geogr%C3%A1fica-del-reyno-del-per%C3%BA-jos%C3%A9-ignacio-de-lequanda/igE86USP5Q1cYg?hl=es,Peru,baston,NA,objetos,1,abajo,NA,NA,NA,equilibrio,castas,cuadro,false,102.jpg
2,"Quadro de Historia Natural, Civil, y Geográfica del Reyno del Perú. Naciones civilizadas (Detalle)",Luis Thiebaut. Comisionado por José Ignacio Lecuanda,1799,Pintura,Óleo,lienzo,118.5,331,"Museo Nacional de Ciencias Naturales, Madrid","Es un cuadro único por su composición y por el modo de transmitir la información. Esta obra conjunta del ilustrado vasco José Ignacio de Lequanda y el pintor francés Louis Thiébaut, que se prolongó a lo largo de cinco años, es una auténtica enciclopedia mural del Perú del siglo XVIII. Un total de  195 escenas y 381 figuras describen la geografía física, la historia, la etnografía, la fauna y la flora del Virreinato peruano. No se conoce otra obra semejante en la historia colonial europea.",1750 - 1810,Montañas andinas,Perú,Perú,1zdMctokZimFIF_ZLqA4yQz05YV9tOKi6,quadro del peru,https://artsandculture.google.com/asset/quadro-de-historia-natural-civil-y-geogr%C3%A1fica-del-reyno-del-per%C3%BA-jos%C3%A9-ignacio-de-lequanda/igE86USP5Q1cYg?hl=es,Peru,baston,NA,objetos,1,abajo,NA,NA,NA,equilibrio,castas,cuadro,true,2.png
3,Modos de cargar los indios a los que caminan por tierra de Quito a Napo,Anónimo. Expedición Malaspina,1791,Pintura,Acuarela,papel,57,42,"Museo de América, Madrid. Inv: 02218","Ante un fondo de montañas nevadas un indio, desnudo, carga sobre sus espaldas probablemente a un español al que sujeta con fuertes correas que rodean la frente y el pecho del indígena. Como se indica en la inscripción que figura al pie del dibujo, lo que se representa es el ""modo de cargar los indios a los que caminan por tierra de Quito a Napo"". Realizado durante la expedición Malaspina, que tuvo lugar entre 1789 y 1794. El comandante Alejandro Malaspina dirigió la expedición organizada por la corona española para recorrer sus posesiones americanas, según un plan presentado por el propio marino. El material reunido se encuentra disperso en diferentes instituciones de España, Inglaterra, Argentina y Chile.",1750 - 1810,Amazonía,Perú,Napo,1bp9nL0SAUjyE4ghAKwufpV1o7DIWbwKx,tablillo,http://ceres.mcu.es/pages/ResultSearch?Museo=MAM&txtSimpleSearch=Modo%20de%20cargar%20los%20indios%20a%20los%20que%20caminan&simpleSearch=0&hipertextSearch=1&search=simple&MuseumsSearch=MAM%7C&MuseumsRolSearch=11&listaMuseos=[Museo%20de%20Am%E9rica],España,baston,NA,sombrero,1,frente,frente,adelante,masculino,figura,castas,lamina,false,3.png
4,Camino por las montañas de la provincia de Antioquia,Anónimo,1800,Pintura,Dibujo,papel,NI,NI,"Archivo General de Indias, MP-ESTAMPAS,257","Dibujo que ilustra el ""Camino por las montañas de la provincia de Antioquia desde su entrada que es el puerto de Juntas hasta salir a donde llaman la Sexa y de hay se puede andar en bestia""",1750 - 1810,Montañas andinas,Colombia,Antioquia,151htVNkHxhcTKiIa0AGHdwjM-208Bfy7,plano,http://pares.mcu.es/ParesBusquedas20/catalogo/description/18613#,España,,ascendiendo,sombrero,2,abajo,arriba,atras,femenino,equilibrio,vista,lamina,false,4.png
5,Modo de entrar a la provincia de Antioquía,Anónimo,1802,Pintura,Dibujo,papel,NI,NI,"Archivo General de Indias, MP-ESTAMPAS,257Bis","Dibujo que representa: ""Modo de entrar a la provincia de Antioquía desde su puerto que nombran las Juntas, en que comienzan el camino de montañas altas y asperas hasta salir de ellas al parage nombrado la Seja, y desde allí a esta capital se puede handar en bestias""",1750 - 1810,Montañas andinas,Colombia,Antioquia,1erNK-R62tskJgZNA8imCJImoWftrd0AF,plano,http://pares.mcu.es/ParesBusquedas20/catalogo/show/18614,España,,ascendiendo,sombrero,2,abajo,arriba,atras,femenino,equilibrio,vista,lamina,false,5.png
6,Passage du Quindiu dans le Cordillère des Andes,Alexander von Humboldt. Christian Friedrich Duttenhofer (Grab.). Joseph Anton Koch (Dibj.),1810,Grabado,Grabado,papel,NI,NI,"Vues des Cordillères, et Monuments des Peuples indigènes de l’Amérique, (París: Schoell, 1810)","la lámina V de Vues acerca del paso del Quindío ha sido utilizada en numerosas ocasiones como ejemplo de las concepciones de Humboldt acerca de las relaciones entre el arte y la ciencia con relación a la posibilidad de presentar sensiblemente la naturaleza vertical americana. El lazo de complementariedad entre las imágenes también se fundamenta en la importancia que tuvo la vegetación del Quindío para la formulación de la Geografía de las plantas. Algo que es reafirmado por el viaje que Caldas nunca pudo realizar a los Andes del Quindío para complementar las observaciones de Humboldt, que nos permite imaginarnos una imagen sobre este paisaje que no pudo ser hecha. Oliver Lubrich se refiere a la lámina V de Vues como un dibujo de perspectiva múltiple diseñado desde las posiciones de diferentes disciplinas, y abierta a diversas lecturas. La imagen puede ofrecer gozo estético, a la vez que informaciones relevantes a botánicos, geólogos, mineralogistas y meteorólogos. Esto porque se ven allí plantas, paisajes, formaciones de nubes, perfiles geológicos, poblados, un valle interandino, la cordillera oriental, múltiples señas que dan cuenta del clima, la vegetación, la ubicación y las actividades sociales y productivas que se llevan a cabo con las plantas y los recursos naturales en general. Además, cuenta una historia de carácter sociológico y “políticamente explosiva” relacionada con los cargueros que conforman la fila de viajeros y que escenifican una serie de oposiciones y complejidades propias del montañoso mundo Andino, de la sociedad colonial y de una sociedad global en proceso de transformación. Allí vemos un carguero que mira fijamente al espectador mientras camina con su silla vacía, probablemente aquella que debió ocupar Humboldt, quien rehusó usar el servicio. En este sentido, podría decirse que la imagen es “cuadro o escena de naturaleza” que presenta una organización cuidadosa del paisaje de manera que variados fenómenos naturales y culturales interactúen y den cuenta de un funcionamiento orgánico. Sin embargo, la imagen no puede ser leída sin tener en cuenta sus relaciones y tensiones con el texto escrito que la describe que se encuentra en Vues",1750 - 1810,Montañas andinas,Colombia,Quindío,1GG6pTUHtfJNU3R1wNqTofoQ7BzA0tLUi,humboldt,https://library.si.edu/digital-library/book/vuesdescordille2humb,Alemania,bijao,caminando,libro,5,espectador,frente,atras,masculino,equilibrio,vista,libro,false,6.png
7,Passage of Quindiu in the andes,Alexander Von Humboldt - George Cooke(Grab).,1810,Grabado,Grabado en aluminio,papel,33,40,"Colección de arte del Banco de la República, AP3692",Copia de la lámina V de Vues hecha en Inglaterra. El grabado fue coloreado con acuarela.,1750 - 1810,Montañas andinas,Colombia,Quindío,1kpl-7BqdQQu-H3nqWbDhuIUTyOjWsQWj,humboldt,https://www.banrepcultural.org/coleccion-de-arte/obra/passage-quindiu-andes-paso-del-quindio-en-los-andes-ap3692,Inglaterra,baston,caminando,libro,5,espectador,frente,atras,masculino,equilibrio,vista,lamina,false,89.jpg
8,"Passage du Quindiu dans la Cordillère des Andes, pres d'Ibague (Lat. 4°36'. Long. 5°12) / [Kopie nach Alexander von Humboldt]",Hans Konrad Escher von der Linth,1823,Pintura,Acuarela,papel,18.3,40,E-Manuscripta. Digital platform for manuscript material from Swiss libraries and archives,"Copia de la lámina V de Vues, hecha en acuarela y tinta por el suizo Hans Konrad Escher von der Linth. Excluye a los cargueros del paisaje.",1819 - 1850,Montañas andinas,Colombia,Quindío,1ksS239bVuWwKFiHqNpI_8ppLWw449cgo,humboldt,https://doi.org/10.7891/e-manuscripta-50190,Suiza,NA,NA,NA,NA,NA,NA,NA,NA,fondo,vista,lamina,false,90.jpg
9,"The entrance of the mountain near Ibague. In the fore-ground, a band of cargueros are coming up","Alexander von Humboldt, Josiah Conder, H Adlard (Grab)",1825,Grabado,Grabado en acero,papel,NI,NI,"Conder, Josiah. 1825. The Modern Traveller. A Popular Description, Geographical, Historical, and Topographical, of the Various Countries of the Globe. Colombia. London : Printed for James Duncan ; Edinburgh : Oliver and Boyd ; Glasgow : M. Ogle ; Dublin : R.M. Tims. http://archive.org/details/colombia00cond.","Es una copia de la lámina V de Vues de Humboldt. Se encuentra en el tomo sobre Colombia de The Modern Traveller, el viaje de gabinete de Josiah Conder, una compilación de 30 volúmenes aceeca la geografía de muchos países del mundo. En la obra se citan como fuente del relato a Alexander von Humboldt, Gaspar Mollien, Charles Stuart Cochrane, entre otros. Sobre el grabado se puede leer el siguiente comentario: ""La placa anexa, copiada del Atlas Pintoresco del erudito Autor, representa la entrada de la montaña cerca de Ibagué. En primer plano se acerca una banda de cargueros. Al fondo se ven una parte del pueblo de Ibagué, el gran valle del Magdalena y la cadena oriental de las cordilleras; y el cono truncado de Colima, cubierto de nieves perpetuas, aparece sobre la masa de rocas graníticas. El pequeño río, que se abre paso a través de una espesura de palmeras, es el Combeima"" (346-347)",1819 - 1850,Montañas andinas,Colombia,Quindío,10ZlPdVZJ1AdtzTtyzf9cLSipDgBDleok,humboldt,https://archive.org/details/colombia00cond/page/344/mode/2up?view=theater,Inglaterra,bijao,caminando,libro,5,espectador,frente,atras,masculino,equilibrio,vista,libro,false,103.jpg
